week_start_date,year_week,platform,channel,country,campaign_name,objective,impressions,clicks,cost,conversions,revenue,ctr,cpc,cpm,cvr,cpa,roas
2025-03-03,2025-W09,Meta,Paid Social,TR,Spring Sale - Prospecting,Conversions,339073,5029,1499.32,202,189653.3,0.0148,0.2981,4.4218,0.0402,7.4224,126.4929
2025-03-03,2025-W09,Meta,Paid Social,TR,Spring Sale - Remarketing,Conversions,136066,4291,1617.11,224,225475.14,0.0315,0.3769,11.8847,0.0522,7.2192,139.4309
2025-03-03,2025-W09,YouTube,Online Video,TR,Always On Brand,Awareness,453307,3491,715.09,22,18092.33,0.0077,0.2048,1.5775,0.0063,32.5041,25.3008
2025-03-03,2025-W09,Google,Search,TR,Search - Non Brand,Conversions,88589,3663,1511.24,139,135643.71,0.0413,0.4126,17.059,0.0379,10.8722,89.7566
2025-03-03,2025-W09,Google,Search,TR,Search - Brand,Conversions,64673,6985,1265.79,569,509231.33,0.108,0.1812,19.5722,0.0815,2.2246,402.3032
2025-03-10,2025-W10,Meta,Paid Social,TR,Spring Sale - Prospecting,Conversions,324259,4416,1282.93,145,135740.96,0.0136,0.2905,3.9565,0.0328,8.8478,105.8054
2025-03-10,2025-W10,Meta,Paid Social,TR,Spring Sale - Remarketing,Conversions,129891,4175,1459.28,205,209162.46,0.0321,0.3495,11.2347,0.0491,7.1184,143.3326
2025-03-10,2025-W10,YouTube,Online Video,TR,Always On Brand,Awareness,409679,3332,535.81,23,20903.75,0.0081,0.1608,1.3079,0.0069,23.2961,39.0134
2025-03-10,2025-W10,Google,Search,TR,Search - Non Brand,Conversions,103418,4717,1864.98,192,186696.5,0.0456,0.3954,18.0334,0.0407,9.7134,100.1064
2025-03-10,2025-W10,Google,Search,TR,Search - Brand,Conversions,50249,5323,1059.43,523,438744.78,0.1059,0.199,21.0836,0.0983,2.0257,414.1329
2025-03-17,2025-W11,Meta,Paid Social,TR,Spring Sale - Prospecting,Conversions,332444,4833,1261.64,179,178816.07,0.0145,0.261,3.795,0.037,7.0483,141.733
2025-03-17,2025-W11,Meta,Paid Social,TR,Spring Sale - Remarketing,Conversions,155645,4065,1378.76,230,236394.39,0.0261,0.3392,8.8584,0.0566,5.9946,171.4543
2025-03-17,2025-W11,YouTube,Online Video,TR,Always On Brand,Awareness,452399,3565,634.12,25,23414.09,0.0079,0.1779,1.4017,0.007,25.3648,36.9238
2025-03-17,2025-W11,Google,Search,TR,Search - Non Brand,Conversions,110461,4942,2175.18,215,218468.21,0.0447,0.4401,19.6918,0.0435,10.1171,100.4368
2025-03-17,2025-W11,Google,Search,TR,Search - Brand,Conversions,57385,7089,1271.45,778,622004.56,0.1235,0.1794,22.1565,0.1097,1.6343,489.2088
2025-03-24,2025-W12,Meta,Paid Social,TR,Spring Sale - Prospecting,Conversions,351561,5310,1442.34,187,159995.42,0.0151,0.2716,4.1027,0.0352,7.713,110.9277
2025-03-24,2025-W12,Meta,Paid Social,TR,Spring Sale - Remarketing,Conversions,136309,3925,1576.78,204,191838.3,0.0288,0.4017,11.5677,0.052,7.7293,121.6646
2025-03-24,2025-W12,YouTube,Online Video,TR,Always On Brand,Awareness,451098,3873,800.07,29,26769.81,0.0086,0.2066,1.7736,0.0075,27.5886,33.4593
2025-03-24,2025-W12,Google,Search,TR,Search - Non Brand,Conversions,96106,4659,1732.77,189,194559.31,0.0485,0.3719,18.0298,0.0406,9.1681,112.2822
2025-03-24,2025-W12,Google,Search,TR,Search - Brand,Conversions,45340,5105,942.89,485,440966.36,0.1126,0.1847,20.796,0.095,1.9441,467.6753
2025-03-31,2025-W13,Meta,Paid Social,TR,Spring Sale - Prospecting,Conversions,265649,3850,1041.06,123,115907.69,0.0145,0.2704,3.9189,0.0319,8.4639,111.3362
2025-03-31,2025-W13,Meta,Paid Social,TR,Spring Sale - Remarketing,Conversions,146788,4730,1684.4,266,259709.67,0.0322,0.3561,11.4751,0.0562,6.3323,154.1853
2025-03-31,2025-W13,YouTube,Online Video,TR,Always On Brand,Awareness,369478,2949,593.35,29,25848.97,0.008,0.2012,1.6059,0.0098,20.4603,43.5645
2025-03-31,2025-W13,Google,Search,TR,Search - Non Brand,Conversions,98437,4417,1560.32,206,224432.16,0.0449,0.3533,15.851,0.0466,7.5744,143.8373
2025-03-31,2025-W13,Google,Search,TR,Search - Brand,Conversions,60220,6142,1260.65,501,474444.71,0.102,0.2053,20.9341,0.0816,2.5163,376.3493
2025-04-07,2025-W14,Meta,Paid Social,TR,Spring Sale - Prospecting,Conversions,404113,5581,1474.19,197,182438.73,0.0138,0.2641,3.648,0.0353,7.4832,123.7552
2025-04-07,2025-W14,Meta,Paid Social,TR,Spring Sale - Remarketing,Conversions,113948,3208,1003.52,184,172030.47,0.0282,0.3128,8.8068,0.0574,5.4539,171.427
2025-04-07,2025-W14,YouTube,Online Video,TR,Always On Brand,Awareness,569276,4268,826.11,36,30406.0,0.0075,0.1936,1.4512,0.0084,22.9475,36.8062
2025-04-07,2025-W14,Google,Search,TR,Search - Non Brand,Conversions,97593,4850,1628.15,207,220174.28,0.0497,0.3357,16.6831,0.0427,7.8655,135.2297
2025-04-07,2025-W14,Google,Search,TR,Search - Brand,Conversions,60160,5962,931.45,595,555528.47,0.0991,0.1562,15.4829,0.0998,1.5655,596.4126
2025-04-14,2025-W15,Meta,Paid Social,TR,Spring Sale - Prospecting,Conversions,329618,5081,1325.93,181,174469.69,0.0154,0.261,4.0226,0.0356,7.3256,131.5829
2025-04-14,2025-W15,Meta,Paid Social,TR,Spring Sale - Remarketing,Conversions,127998,4118,1509.59,199,201422.05,0.0322,0.3666,11.7939,0.0483,7.5859,133.4283
2025-04-14,2025-W15,YouTube,Online Video,TR,Always On Brand,Awareness,423858,3604,804.31,26,24527.15,0.0085,0.2232,1.8976,0.0072,30.935,30.4946
2025-04-14,2025-W15,Google,Search,TR,Search - Non Brand,Conversions,99705,4781,2275.14,195,197033.63,0.048,0.4759,22.8187,0.0408,11.6674,86.6029
2025-04-14,2025-W15,Google,Search,TR,Search - Brand,Conversions,49129,5051,902.17,496,462632.98,0.1028,0.1786,18.3633,0.0982,1.8189,512.8002
2025-04-21,2025-W16,Meta,Paid Social,TR,Spring Sale - Prospecting,Conversions,351763,5281,1693.61,179,193178.24,0.015,0.3207,4.8146,0.0339,9.4615,114.063
2025-04-21,2025-W16,Meta,Paid Social,TR,Spring Sale - Remarketing,Conversions,150511,3925,1226.64,226,219005.37,0.0261,0.3125,8.1498,0.0576,5.4276,178.5409
